tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
438,4/30/2016 16:36:31,4/30/2016 16:43:50,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20645,Customer,,0
525,4/30/2016 16:36:32,4/30/2016 16:45:18,293,Lafayette St & E 8 St,40.73028666,-73.9907647,346,Bank St & Hudson St,40.73652889,-74.00618026,15845,Subscriber,1979.0,2
979,4/30/2016 16:36:34,4/30/2016 16:52:53,2008,Little West St & 1 Pl,40.70569254,-74.01677685,509,9 Ave & W 22 St,40.7454973,-74.00197139,22625,Subscriber,1982.0,1
843,4/30/2016 16:36:34,4/30/2016 16:50:38,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,217,Old Fulton St,40.70277159,-73.99383605,22511,Customer,,0
1189,4/30/2016 16:36:35,4/30/2016 16:56:25,525,W 34 St & 11 Ave,40.75594159,-74.0021163,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17040,Customer,,0
1562,4/30/2016 16:36:35,4/30/2016 17:02:37,278,Concord St & Bridge St,40.69766564,-73.98476437,459,W 20 St & 11 Ave,40.746745,-74.007756,19748,Customer,,0
3722,4/30/2016 16:36:36,4/30/2016 17:38:38,291,Madison St & Montgomery St,40.713126,-73.984844,458,11 Ave & W 27 St,40.751396,-74.005226,16848,Customer,,0
362,4/30/2016 16:36:35,4/30/2016 16:42:37,358,Christopher St & Greenwich St,40.73291553,-74.00711384,470,W 20 St & 8 Ave,40.74345335,-74.00004031,15221,Subscriber,1989.0,1
1430,4/30/2016 16:36:34,4/30/2016 17:00:24,3085,Roebling St & N 4 St,40.71469,-73.95739,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,22661,Customer,,0
1099,4/30/2016 16:36:36,4/30/2016 16:54:55,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,418,Front St & Gold St,40.70224,-73.982578,19331,Subscriber,1992.0,1
327,4/30/2016 16:36:38,4/30/2016 16:42:05,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,18366,Subscriber,1992.0,1
788,4/30/2016 16:36:39,4/30/2016 16:49:48,3163,Central Park West & W 68 St,40.7734066,-73.97782542,3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,19613,Subscriber,1981.0,1
1553,4/30/2016 16:36:39,4/30/2016 17:02:33,278,Concord St & Bridge St,40.69766564,-73.98476437,459,W 20 St & 11 Ave,40.746745,-74.007756,21619,Subscriber,1955.0,2
1693,4/30/2016 16:36:40,4/30/2016 17:04:54,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,504,1 Ave & E 15 St,40.73221853,-73.98165557,15821,Subscriber,1987.0,1
1544,4/30/2016 16:36:42,4/30/2016 17:02:26,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,447,8 Ave & W 52 St,40.76370739,-73.9851615,18936,Customer,,0
130,4/30/2016 16:36:39,4/30/2016 16:38:49,146,Hudson St & Reade St,40.71625008,-74.0091059,330,Reade St & Broadway,40.71450451,-74.00562789,17559,Subscriber,1985.0,1
826,4/30/2016 16:36:42,4/30/2016 16:50:28,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,428,E 3 St & 1 Ave,40.72467721,-73.98783413,23280,Subscriber,1982.0,1
483,4/30/2016 16:36:42,4/30/2016 16:44:46,484,W 44 St & 5 Ave,40.75500254,-73.98014437,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15409,Subscriber,1986.0,2
1176,4/30/2016 16:36:43,4/30/2016 16:56:20,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,519,Pershing Square North,40.751873,-73.977706,21239,Subscriber,1993.0,1
1358,4/30/2016 16:36:43,4/30/2016 16:59:22,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,330,Reade St & Broadway,40.71450451,-74.00562789,20235,Customer,,0
325,4/30/2016 16:36:42,4/30/2016 16:42:08,239,Willoughby St & Fleet St,40.69196566,-73.9813018,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,23870,Subscriber,1980.0,1
1180,4/30/2016 16:36:44,4/30/2016 16:56:25,525,W 34 St & 11 Ave,40.75594159,-74.0021163,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17921,Customer,,0
1854,4/30/2016 16:36:44,4/30/2016 17:07:39,3098,Leonard St & Bayard St,40.71928,-73.94861,317,E 6 St & Avenue B,40.72453734,-73.98185424,23203,Subscriber,1983.0,1
